,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Hochelaga,Hochelaga,"[""*...È una città completamente insulare, in quanto sorge sull'arcipelago Hochelaga, gruppo di isole alla confluenza dei fiumi Ottawa e San Lorenzo...."", ""*...Il villaggio fortificato di Hochelaga, degli Irochesi del San Lorenzo, si trovava sull'isola durante le visite di Jacques Cartier nell'ottobre 1535...."", ""*...Tuttavia, all'epoca della fondazione della città di Québec da parte di Samuel de Champlain il 3 luglio 1608, non rimanevano più tracce del villaggio di Hochelaga;...""]","Rue Hochelaga, Hochelaga, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1W 1G1, Canada","{""coordinates"": [-73.555653, 45.539904], ""type"": ""Point""}","Rue Hochelaga, Hochelaga, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1W 1G1, Canada",highway,tertiary
2,Outaouais,Outaouais,"[""*...La città si trova sull'Isola di Montréal alla confluenza dei fiumi San Lorenzo e Outaouais, e include anche altre 74 isole, molte delle quali disabitate....""]","Camping des rives de l'Outaouais, 2042, Chemin de Montréal Ouest, Masson-Angers, Gatineau, Outaouais, Québec, J8M 1P3, Canada","{""coordinates"": [-75.518783, 45.505292], ""type"": ""Point""}","Camping des rives de l'Outaouais, 2042, Chemin de Montréal Ouest, Masson-Angers, Gatineau, Outaouais, Québec, J8M 1P3, Canada",tourism,camp_site
11,1000 Gauchetière,1000 Gauchetière,"[""*...L'edificio più alto della città, 1000 Gauchetière, ha 51 piani ed è alto circa 205 m.\nPer numero di abitanti, Montréal è la quarta città francofona più popolosa del mondo dopo Parigi (Francia), Abidjan \n(Costa d'Avorio) e Kinshasa (Repubblica Democratica del Congo)....""]","1000, Rue de La Gauchetière Ouest, Ville-Marie, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3A 4W5, Canada","{""coordinates"": [-73.566572, 45.498757], ""type"": ""Point""}","1000, Rue de La Gauchetière Ouest, Ville-Marie, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3A 4W5, Canada",place,house
22,Stock Exchange Tower,Stock Exchange Tower,"[""*...L'MX ha sede nel grattacielo denominato Stock Exchange Tower, opera di Luigi Moretti e di Pierluigi Nervi....""]","Place Victoria, Rue Saint-Antoine Ouest, Vieux-Montréal, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3C 3Z7, Canada","{""coordinates"": [-73.562007, 45.500479], ""type"": ""Point""}","Place Victoria, Rue Saint-Antoine Ouest, Vieux-Montréal, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3C 3Z7, Canada",building,commercial
23,Cirque du Soleil,Cirque du Soleil,"['...Montréal ospita importanti aziende del settore culturale, tra cui il Cirque du Soleil, ivi fondato, con sede nella zona del porto;...']","Cirque du Soleil, 2e Avenue, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1Z 2C7, Canada","{""coordinates"": [-73.615174, 45.561009], ""type"": ""Point""}","Cirque du Soleil, 2e Avenue, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1Z 2C7, Canada",building,commercial
24,Casino de Montréal,Casino de Montréal,"['...Il Casino de Montréal, uno dei più grandi e famosi casinò del mondo, completa il poderoso quadro economico e occupazionale della città che continua negli anni ad attirare un numero impressionante di persone in cerca di lavoro....']","Casino de Montréal, 1, Avenue du Casino, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3C 4W7, Canada","{""coordinates"": [-73.525815, 45.505123], ""type"": ""Point""}","Casino de Montréal, 1, Avenue du Casino, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3C 4W7, Canada",tourism,attraction
27,Mirabel,Mirabel,"['*...Laurentians: Blainville, Bois-des-Filion, Boisbriand, Deux-Montagnes, Lorraine, Mirabel, Oka, Pointe-Calumet, Rosemère, Sainte-Anne-des-Plaines, Saint-Eustache, Saint-Jérôme, Saint-Joseph-du-Lac, Sainte-Marthe-sur-le-Lac, Sainte-Thérèse....', '*...Altri 2 aeroporti di caratura internazionale sono il Mirabel (nella vicina municipalità di Mirabel) e il Saint-Hubert (nella vicina municipalità di Longueuil)....']","Rue Mirabel, Dollard-des-Ormeaux, Agglomération de Montréal, Montréal (région administrative), Québec, H9A 3J5, Canada","{""coordinates"": [-73.84271, 45.48336], ""type"": ""Point""}","Rue Mirabel, Dollard-des-Ormeaux, Agglomération de Montréal, Montréal (région administrative), Québec, H9A 3J5, Canada",highway,residential
28,Montréal Centrale,Montréal Centrale,['*...La principale stazione ferroviaria è Montréal Centrale....'],"Gare centrale de Montréal, Rue Cathcart, Ville-Marie, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3B 5K4, Canada","{""coordinates"": [-73.569555, 45.501813], ""type"": ""Point""}","Gare centrale de Montréal, Rue Cathcart, Ville-Marie, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3B 5K4, Canada",railway,buffer_stop
