,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Europe,Europe,"['*...As of January 2021, its population was 2 million, making Minsk the 11th most populous city in Europe....', '...Unlike many other cities in the CIS and Eastern Europe, Minsk was not heavily de-industrialised in the 1990s....', '*...It is an international airport with flights to Europe and the Middle East....']","Europa, 28, Інтэрнацыянальная вуліца, Ciomnyja Kramy, Tsentralny District, Minsk, 220030, Belarus","{""coordinates"": [27.556941, 53.902629], ""type"": ""Point""}","Europa, 28, Інтэрнацыянальная вуліца, Ciomnyja Kramy, Tsentralny District, Minsk, 220030, Belarus",tourism,hotel
8,Minsk Ghetto,Minsk Ghetto,"['*...Minsk was the site of one of the largest Nazi-run ghettos in the Second World War, temporarily housing over 100,000 Jews (see Minsk Ghetto)....']","Victims of the Minsk ghetto 1941-43, Rakaŭskaja vulica, Rakaŭskaje pradmiescie, Tsentralny District, Minsk, 220004, Belarus","{""coordinates"": [27.541921, 53.905685], ""type"": ""Point""}","Victims of the Minsk ghetto 1941-43, Rakaŭskaja vulica, Rakaŭskaje pradmiescie, Tsentralny District, Minsk, 220004, Belarus",historic,memorial
12,Nioman,Nioman,"['*...Minsk is located on the southeastern slope of the Minsk Hills, a region of rolling hills running from the southwest (upper reaches of the river Nioman) to the northeast– that is, to Lukomskaye Lake in northwestern Belarus....']","вуліца Нармандыя-Нёман, Barysaw, Barysaw District, Minsk Region, 222517, Belarus","{""coordinates"": [28.509454, 54.245254], ""type"": ""Point""}","вуліца Нармандыя-Нёман, Barysaw, Barysaw District, Minsk Region, 222517, Belarus",highway,tertiary
19,Atlantic,Atlantic,"['...Minsk has a warm summer humid continental climate (Köppen Dfb) though unpredictable many a times, owing to its location between the strong influence of the moist air of the Atlantic Ocean and the dry air of the Eurasian landmass....', '*...Throughout the year, most winds are westerly and northwesterly, bringing cool and moist air from the Atlantic....']","Atlantic, вуліца Сурганава, Sielhaspasiolak, Savyetski District, Minsk, 220100, Belarus","{""coordinates"": [27.582241, 53.928934], ""type"": ""Point""}","Atlantic, вуліца Сурганава, Sielhaspasiolak, Savyetski District, Minsk, 220100, Belarus",shop,clothes
20,Zavodski District,Zavodski District,"['*...Sometimes the maximum normative concentration of formaldehyde and ammonia in air is exceeded in Zavodski District....', '*...Many citizens are concerned for their safety at night and the strongest concern was expressed by residents of Chizhovka and Shabany microdistricts (both in Zavodski District)....']","The factory (and Minsk city) district Department of the Investigative Committee of the Republic of Belarus, вуліца Тухачэўскага, Zavodski District, Minsk, 220026, Belarus","{""coordinates"": [27.622279, 53.868707], ""type"": ""Point""}","The factory (and Minsk city) district Department of the Investigative Committee of the Republic of Belarus, вуліца Тухачэўскага, Zavodski District, Minsk, 220026, Belarus",office,government
32,Kalvaryja,Kalvaryja,['*...Kalvaryja (Calvary Cemetery) is the oldest surviving cemetery in the city. Many famous people of Belarus are buried here. The cemetery was closed to new burials in the 1960s....'],"Kalvaryja entrance, вуліца Верашчагіна, Kaĺvaryja, Tučynka, Frunzyenski District, Minsk, 220073, Belarus","{""coordinates"": [27.506579, 53.908741], ""type"": ""Point""}","Kalvaryja entrance, вуліца Верашчагіна, Kaĺvaryja, Tučynka, Frunzyenski District, Minsk, 220073, Belarus",historic,monument
38,Gorky Park,Gorky Park,['*...Gorky Park (Minsk) ;...'],"Gorky Park Apartments, Першамайская вуліца, Archirejskaja Slabodka, Partyzanski District, Minsk, 220088, Belarus","{""coordinates"": [27.576483, 53.901233], ""type"": ""Point""}","Gorky Park Apartments, Першамайская вуліца, Archirejskaja Slabodka, Partyzanski District, Minsk, 220088, Belarus",tourism,apartment
41,Minsk Arena,Minsk Arena,"['...Minsk hosted the 2014 IIHF World Championship at the Minsk Arena....', '...In January 2016, the 2016 European Speed Skating Championships were held in the Minsk Arena....', '*...Minsk Arena is the only indoor speed skating rink in Belarus....', '...The 2019 European Figure Skating Championships were held in the Minsk Arena from the 21 to 27 January....']","Мінск-Арэна, Узровень 1, Radužny, Tsentralny District, Minsk, 220020, Belarus","{""coordinates"": [27.482675, 53.934997], ""type"": ""Point""}","Мінск-Арэна, Узровень 1, Radužny, Tsentralny District, Minsk, 220020, Belarus",leisure,sports_centre
46,Minsk National Airport,Minsk National Airport,['*...Minsk National Airport is located 42\xa0km (26\xa0mi) to the east of the city....'],"Minsk National Airport, Сектар 1, Нацыянальны аэрапорт «Мінск», Kastrychnitski District, Minsk, 220054, Belarus","{""coordinates"": [28.032222, 53.889707], ""type"": ""Point""}","Minsk National Airport, Сектар 1, Нацыянальны аэрапорт «Мінск», Kastrychnitski District, Minsk, 220054, Belarus",highway,bus_stop
