,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Nioman,Nioman,"['*...La città di Minsk si trova sul versante sud-orientale dei Colli di Minsk, una regione collinare che va dal sud-ovest, corso superiore del fiume Nioman, al nord-est, fino al lago Lukomskaje....']","вуліца Нармандыя-Нёман, Барысаў, Барысаўскі раён, Мінская вобласць, 222517, Bielorussia","{""coordinates"": [28.509454, 54.245254], ""type"": ""Point""}","вуліца Нармандыя-Нёман, Барысаў, Барысаўскі раён, Мінская вобласць, 222517, Bielorussia",highway,tertiary
21,Minsk-Pasažyrski,Minsk-Pasažyrski,"['*...Dalla rinnovata stazione centrale Minsk-Pasažyrski, (sita nella centralissima Plošad Lenina - Piazza Lenin), partono ogni giorno numerosi treni internazionali che sovente coprono distanze notevoli, come ad esempio Irkutsk (in Siberia)....']","Мінск-Пасажырскі, 5, Прывакзальная плошча, Уборкі, Кастрычніцкі раён, Minsk, 220006, Bielorussia","{""coordinates"": [27.551183, 53.890566], ""type"": ""Point""}","Мінск-Пасажырскі, 5, Прывакзальная плошча, Уборкі, Кастрычніцкі раён, Minsk, 220006, Bielorussia",building,train_station
