,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Pétrusse,Pétrusse,"['*...Standing at the confluence of the Alzette and Pétrusse rivers in southern Luxembourg, the city lies at the heart of Western Europe, situated 213\xa0km (132\xa0mi) by road from Brussels, 372\xa0km (231\xa0mi) from Paris, and 209\xa0km (130\xa0mi) from Cologne....', '*...The city centre occupies a picturesque site on a salient, perched high on precipitous cliffs that drop into the narrow valleys of the Alzette and Pétrusse rivers, whose confluence is in Luxembourg City....']","Boulevard de la Pétrusse, Gare, Luxembourg, Canton Luxembourg, 2954, Luxembourg","{""coordinates"": [6.127865, 49.60762], ""type"": ""Point""}","Boulevard de la Pétrusse, Gare, Luxembourg, Canton Luxembourg, 2954, Luxembourg",highway,primary
7,Villa Vauban,Villa Vauban,"['...Art galleries include the Villa Vauban, the Casino Luxembourg and Am Tunnel....']","Villa Vauban, 18, Avenue Émile Reuter, Ville-Haute, Luxembourg, Canton Luxembourg, 2090, Luxembourg","{""coordinates"": [6.122415, 49.613129], ""type"": ""Point""}","Villa Vauban, 18, Avenue Émile Reuter, Ville-Haute, Luxembourg, Canton Luxembourg, 2090, Luxembourg",tourism,museum
9,Luxembourg Airport,Luxembourg Airport,"['*...Upon completion in 2024, the line will extend to Luxembourg Airport and the national stadium....', '*...Luxembourg City is served by the only international airport in the country: Luxembourg Airport (codes: IATA:...']","Luxembourg Airport, Boulevard Nelson Mandela, Hamm, Luxembourg, Canton Luxembourg, 1871, Luxembourg","{""coordinates"": [6.209403, 49.626372], ""type"": ""Point""}","Luxembourg Airport, Boulevard Nelson Mandela, Hamm, Luxembourg, Canton Luxembourg, 1871, Luxembourg",aeroway,aerodrome
